ISELL_ORDER_NUMBER	PICK_ID	ARTNO   	ARTNAME_UNICODE                                   	ART_VOLUME_M3	ORDERED_QTY	PICKED_QTY	OPEN_PICK_QTY	AVAILABLE_STOCK	POSSIBLE_TO_FINISH	ORDER_TYPE 	DATE_OF_PAYMENT	TIME_OF_PAYMENT	EXCEPTION	PICK_AREA          	ACTUAL_ORDER_STATUS	STORAGE_STATUS	STORAGE_USED	HANDOVER_POINT	CUT_OFF_DATE	CUT_OFF_TIME	USER_PICKING	SERVICE_DATE	SERVICE_WINDOW	ORDER_METHOD	PICK_LOCATION	PICK_LOCATION_TYPE	DELIVERY_METHOD                  
1352295020        	60271  	10443974	DRÖNA N box 33x38x33 dark grey                    	0.002564     	6          	0         	6            	13399          	YES               	Collect    	2023-04-12     	09:20:10       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	000200       	MANUAL            	Pick Up at Store                 
1352295020        	60271  	90301555	KALLAX shelving unit 77x41 white                  	0.047128     	1          	0         	1            	128            	YES               	Collect    	2023-04-12     	09:20:10       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	030300       	                  	Pick Up at Store                 
1352294948        	60272  	90277961	KOMPL shelf 75x58 white                           	0.008342     	1          	0         	1            	849            	YES               	Collect    	2023-04-12     	09:20:37       	         	Full Serve internal	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	064100       	                  	Pick Up at Store                 
1352295253        	60273  	00309235	KULLEN N chest/6 drw 140x72 black-brown           	0.081354     	1          	0         	1            	7              	YES               	Truck      	2023-04-12     	09:21:46       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-13  	17:00       	            	2023-04-14  	07:00-19:00   	WEB         	181300       	                  	Delivery indoor standard central 
1352295253        	60273  	60322130	KULLEN N chest/2 drw 35x49 black-brown            	0.019154     	2          	0         	2            	131            	YES               	Truck      	2023-04-12     	09:21:46       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-13  	17:00       	            	2023-04-14  	07:00-19:00   	WEB         	160410       	MANUAL            	Delivery indoor standard central 
1352296121        	60276  	20317079	SPRUTTIG hanger black 10-p                        	0.002050     	5          	0         	5            	2928           	YES               	Truck      	2023-04-12     	09:35:17       	         	Markethall         	Not Started        	              	NO          	              	2023-04-13  	17:00       	            	2023-04-14  	07:00-19:00   	WEB         	M18J09       	                  	Delivery indoor standard central 
1352295316        	60274  	40469302	TJENA N stor box w lid 32x35x32 white             	0.008405     	9          	0         	9            	47             	YES               	Collect    	2023-04-12     	09:25:40       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M18K05       	                  	Pick Up at Store                 
1352296367        	60275  	00324518	KALLAX N shelving unit 77x147 wh st oak eff       	0.099733     	2          	0         	2            	69             	YES               	Collect    	2023-04-12     	09:33:17       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-13  	07:00       	            	2023-04-13  	08:00-11:00   	WEB         	011600       	                  	Pick Up at Store                 
1352296367        	60275  	10443974	DRÖNA N box 33x38x33 dark grey                    	0.002564     	16         	0         	16           	13399          	YES               	Collect    	2023-04-12     	09:33:17       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-13  	07:00       	            	2023-04-13  	08:00-11:00   	WEB         	000200       	MANUAL            	Pick Up at Store                 
1352296121        	60277  	40497828	HJÄLPA adj clths rail 60-100 white                	0.000828     	2          	0         	2            	287            	YES               	Truck      	2023-04-12     	09:35:17       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-13  	17:00       	            	2023-04-14  	07:00-19:00   	WEB         	263105       	                  	Delivery indoor standard central 
1352296121        	60277  	60282186	LACK N wll shlf ut 30x190 white                   	0.066641     	1          	0         	1            	103            	YES               	Truck      	2023-04-12     	09:35:17       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-13  	17:00       	            	2023-04-14  	07:00-19:00   	WEB         	011800       	                  	Delivery indoor standard central 
1352296121        	60277  	90309245	KULLEN N chest/6 drw 140x72 white                 	0.081354     	1          	0         	1            	88             	YES               	Truck      	2023-04-12     	09:35:17       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-13  	17:00       	            	2023-04-14  	07:00-19:00   	WEB         	160800       	                  	Delivery indoor standard central 
1352298875        	60281  	30263844	BILLY NNN bookcs 80x28x106 white                  	0.047755     	1          	0         	1            	145            	YES               	Collect    	2023-04-12     	09:44:51       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	013200       	                  	Pick Up at Store                 
1352296121        	60278  	60214569	PAX wrd frm 50x35x201 white N                     	0.069536     	1          	0         	1            	19             	YES               	Truck      	2023-04-12     	09:35:17       	         	Full Serve internal	Not Started        	              	NO          	              	2023-04-13  	17:00       	            	2023-04-14  	07:00-19:00   	WEB         	104400       	                  	Delivery indoor standard central 
1352298535        	60280  	70521539	HASVIK NNN slid doors pair 200x201 white          	0.162155     	1          	0         	1            	10             	YES               	Collect    	2023-04-12     	09:43:09       	         	Full Serve internal	Not Started        	              	NO          	              	2023-04-13  	16:00       	            	2023-04-13  	17:00-20:00   	WEB         	500100       	                  	Pick Up at Store                 
1352296515        	60279  	90392046	BRIMNES N chest/4 drw 78x124 white/frosted glass  	0.168947     	1          	0         	1            	29             	YES               	Collect    	2023-04-12     	09:38:15       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	062100       	MANUAL            	Pick Up at Store                 
1352296139        	60282  	20403562	MALM N chest/3 drw 80x78 white N                  	0.103535     	1          	0         	1            	69             	YES               	PUP        	2023-04-12     	09:47:21       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-13  	17:00       	            	2023-04-14  	08:00-10:00   	WEB         	000100       	                  	Pick up External pick up truck   
1352296139        	60282  	80214549	MALM chest/2 drw 40x55 white N                    	0.036123     	2          	0         	2            	356            	YES               	PUP        	2023-04-12     	09:47:21       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-13  	17:00       	            	2023-04-14  	08:00-10:00   	WEB         	000100       	                  	Pick up External pick up truck   
1352300974        	60283  	00553232	KORSNING rug flatw in/out 80x150 green pu/striped 	0.011081     	1          	0         	1            	92             	YES               	Collect    	2023-04-12     	10:02:28       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M13O15       	                  	Pick Up at Store                 
1352300974        	60283  	30553235	KORSNING rug flatw in/out 80x250 green pu/striped 	0.013456     	1          	0         	1            	38             	YES               	Collect    	2023-04-12     	10:02:28       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M13O13       	                  	Pick Up at Store                 
1352300974        	60283  	70238541	BUMERANG hanger white                             	0.005638     	1          	0         	1            	1282           	YES               	Collect    	2023-04-12     	10:02:28       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M18K09       	MANUAL            	Pick Up at Store                 
1352300974        	60283  	70512648	TOLKNING hang basket jute                         	0.003032     	1          	0         	1            	909            	YES               	Collect    	2023-04-12     	10:02:28       	         	Markethall         	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	M18N03       	                  	Pick Up at Store                 
1352300974        	60284  	70277957	KOMPL shelf 100x58 white                          	0.010942     	1          	0         	1            	575            	YES               	Collect    	2023-04-12     	10:02:28       	         	Full Serve internal	Not Started        	              	NO          	              	2023-04-12  	13:00       	            	2023-04-12  	14:00-17:00   	WEB         	064000       	                  	Pick Up at Store                 
1345367041        	60288  	60185034	EKTORP NNN frm so2 GB                             	0.702759     	1          	0         	1            	17             	YES               	Customer   	2023-04-12     	10:11:21       	         	Full Serve internal	Not Started        	              	NO          	              	            	            	            	            	              	STORE       	204500       	                  	                                 
1345367041        	60288  	60503569	EKTORP cvr f so2 Hallarp grey GB                  	0.015974     	1          	0         	1            	19             	YES               	Customer   	2023-04-12     	10:11:21       	         	Full Serve internal	Not Started        	              	NO          	              	            	            	            	            	              	STORE       	144705       	                  	                                 
1352300939        	60285  	50357002	KALLRÖR handle 213 mm stainless steel 2-p         	0.000515     	1          	0         	1            	85             	YES               	Truck      	2023-04-12     	10:03:27       	         	Self Serve         	Not Started        	              	NO          	              	2023-04-13  	17:00       	            	2023-04-14  	07:00-19:00   	WEB         	112410       	                  	Delivery indoor standard central 
1352300939        	60286  	10205421	VEDDINGE door 60x200 white                        	0.026296     	1          	0         	1            	3              	YES               	Truck      	2023-04-12     	10:03:27       	         	Full Serve internal	Not Started        	              	NO          	              	2023-04-13  	17:00       	            	2023-04-14  	07:00-19:00   	WEB         	225510       	                  	Delivery indoor standard central 
1352300939        	60286  	40205599	ME leg 8 4-p                                      	0.001730     	1          	0         	1            	655            	YES               	Truck      	2023-04-12     	10:03:27       	         	Full Serve internal	Not Started        	              	NO          	              	2023-04-13  	17:00       	            	2023-04-14  	07:00-19:00   	WEB         	285700       	                  	Delivery indoor standard central 
1352300939        	60286  	40327505	FÖRBÄTTRA NN plinth 220x8 white                   	0.002611     	1          	0         	1            	23             	YES               	Truck      	2023-04-12     	10:03:27       	         	Full Serve internal	Not Started        	              	NO          	              	2023-04-13  	17:00       	            	2023-04-14  	07:00-19:00   	WEB         	501110       	                  	Delivery indoor standard central 
1352300939        	60286  	50205612	UTRUSTA shelf 60x60 white 2-p                     	0.013333     	2          	0         	2            	79             	YES               	Truck      	2023-04-12     	10:03:27       	         	Full Serve internal	Not Started        	              	NO          	              	2023-04-13  	17:00       	            	2023-04-14  	07:00-19:00   	WEB         	285800       	                  	Delivery indoor standard central 
1352300939        	60286  	60212565	ME frame hi cb 60x60x200 white                    	0.090087     	1          	0         	1            	9              	YES               	Truck      	2023-04-12     	10:03:27       	         	Full Serve internal	Not Started        	              	NO          	              	2023-04-13  	17:00       	            	2023-04-14  	07:00-19:00   	WEB         	500700       	                  	Delivery indoor standard central 
1352300939        	60286  	80524882	UTRUSTA NN hinge w b-in dmpr f ktchn 110 ° 2-p    	0.000518     	2          	0         	2            	91             	YES               	Truck      	2023-04-12     	10:03:27       	         	Full Serve internal	Not Started        	              	NO          	              	2023-04-13  	17:00       	            	2023-04-14  	07:00-19:00   	WEB         	285900       	                  	Delivery indoor standard central 
1350909917        	60287  	40233535	NOLMYRA easy chr black/black                      	0.061934     	4          	0         	4            	4              	YES               	Truck      	2023-04-12     	10:08:45       	         	Full Serve internal	Not Started        	              	NO          	              	2023-04-13  	17:00       	            	2023-04-14  	07:00-19:00   	WEB         	             	                  	Delivery Indoor Standard 1 Person
