ARTNO,popularity,Truck,Collect,Correlations
453058.0,1.0,0.0,1.0,"{'60159520.0': 1.0, '80094014.0': 1.0, '90488143.0': 1.0, '50213546.0': 1.0, '30258913.0': 1.0, '60512875.0': 1.0, '80258915.0': 1.0, '20317079.0': 0.9999, '20193899.0': 1.0, '60512861.0': 1.0, '20476346.0': 0.9999}"
458697.0,1.0,1.0,0.0,"{'60185034.0': 1.0, '50458831.0': 1.0, '90472340.0': 1.0}"
459913.0,1.0,0.0,1.0,{'80448973.0': 1.0}
461379.0,3.0,0.3333333333333333,0.6666666666666666,"{'80461380.0': 4.0, '10502379.0': 1.0, '502105.0': 1.0, '80502111.0': 1.0, '10486652.0': 1.0, '40458600.0': 1.0, '70392844.0': 1.0, '90066708.0': 1.0, '10339171.0': 1.0, '90207402.0': 1.0, '70177255.0': 1.0, '20461378.0': 1.0, '80435942.0': 1.0, '30393497.0': 1.0, '30466224.0': 1.0, '20440362.0': 1.0, '20275814.0': 1.0, '30493350.0': 1.0, '80393249.0': 1.0, '80275887.0': 1.0003, '10443974.0': 1.0002, '20393247.0': 1.0, '20476346.0': 0.9999, '10270478.0': 1.0, '10492455.0': 1.0, '343003.0': 1.0, '60280205.0': 1.0, '40499002.0': 1.0, '30219281.0': 1.0}"
466598.0,1.0,0.0,1.0,"{'50472827.0': 1.0, '40446122.0': 1.0, '60505511.0': 0.9999, '90382882.0': 1.0, '40436774.0': 1.0, '50330951.0': 1.0, '20434163.0': 1.0, '20331198.0': 1.0, '10330972.0': 1.0, '40497828.0': 1.0, '90331166.0': 1.0, '70434113.0': 1.0}"
473546.0,5.0,0.2,0.8,"{'40460815.0': 4.0, '90217972.0': 1.0}"
473693.0,2.0,0.0,1.0,"{'20504194.0': 1.0, '50395382.0': 1.0, '30522381.0': 1.0, '40504193.0': 1.0, '30432502.0': 1.0, '20434832.0': 1.0, '10477049.0': 1.0, '10482036.0': 1.0, '100467.0': 1.0, '40534562.0': 1.0, '30528514.0': 1.0, '10056770.0': 1.0}"
488425.0,1.0,0.0,1.0,"{'20518474.0': 1.0, '30351143.0': 1.0, '549546.0': 1.0, '30514791.0': 1.0, '50258323.0': 1.0, '20468110.0': 1.0, '50353612.0': 1.0, '90538001.0': 1.0, '30546966.0': 1.0}"
490522.0,1.0,1.0,0.0,"{'40527670.0': 1.0, '50522375.0': 1.0, '80460823.0': 1.0, '60466246.0': 1.0, '324518.0': 1.0, '20449517.0': 1.0, '20538764.0': 1.0, '20514070.0': 1.0, '60300374.0': 1.0, '10264302.0': 1.0}"
497000.0,1.0,0.0,0.0,{}
502105.0,1.0,0.0,1.0,"{'80461380.0': 1.0, '20393247.0': 1.0, '10339171.0': 1.0, '20440362.0': 1.0, '80502111.0': 1.0, '10502379.0': 1.0, '30466224.0': 1.0, '90066708.0': 1.0, '80393249.0': 1.0, '60280205.0': 1.0, '30393497.0': 1.0, '461379.0': 0.9999, '70177255.0': 1.0}"
502474.0,1.0,0.0,1.0,"{'40504249.0': 1.0, '80275887.0': 1.0003, '50456592.0': 1.0, '50471026.0': 1.0, '60159520.0': 1.0, '80089239.0': 0.9999, '40501892.0': 1.0, '20278167.0': 0.9999, '20502166.0': 1.0, '80429757.0': 0.9999, '60452174.0': 1.0, '50525642.0': 1.0, '70286645.0': 1.0, '70193321.0': 1.0, '70238541.0': 0.9999, '70456591.0': 1.0, '95685100.0': 1.0, '30456593.0': 1.0, '20300248.0': 1.0}"
510308.0,2.0,1.0,0.0,"{'60396121.0': 4.0002, '445332.0': 4.0, '30409295.0': 4.0, '60409294.0': 4.0, '10510299.0': 4.0002, '70510300.0': 4.0, '10391772.0': 4.0, '30391766.0': 4.0, '60518486.0': 4.0, '90511105.0': 4.0002, '90391853.0': 4.0, '50494141.0': 4.0, '40510306.0': 4.0, '50396094.0': 4.0, '40456286.0': 4.0, '40391836.0': 4.0}"
511223.0,1.0,0.0,0.0,{}
514033.0,1.0,1.0,0.0,"{'70331186.0': 1.0, '70330945.0': 0.9999, '307552.0': 1.0, '30263245.0': 1.0008, '330982.0': 1.0, '60331059.0': 1.0, '80331063.0': 1.0, '40331164.0': 1.0, '20334314.0': 1.0, '50497818.0': 1.0, '10331194.0': 0.9999, '10330948.0': 1.0, '30514036.0': 1.0, '10246308.0': 1.0, '10257306.0': 1.0, '20331198.0': 1.0, '10385926.0': 1.0, '40497828.0': 1.0, '70514039.0': 1.0, '60505511.0': 0.9999, '60331200.0': 1.0, '20524677.0': 1.0}"
