order_number,articles
1352307161,"RSTIDNNtablelampnickel-plated/whiteGB,TAVELNtray2-p,SOLHETTAE27470lmglobeopalwhi2-pUK,LNGFJLLNstarbasew4lgswhite,LACKwllshlf30x26black-brown,TROTTENtbltp120x70white,NISSEDALmirror65x150black,LNGFJLLseatshellGunnaredbeigeGB,TROTTENufrmsi/stftbltp120/160white"
1352308037,LIATORPbookcs96x214white
1352308040,"PAXwrdfrm75x35x201whiteN,KOMPLshelf75x35white"
1352308620,"IDANSchest/6drw84x135darkbrownstained,IDANSwrd121x211darkbrownstained,EKTORPNNNfrmso2GB,EKTORPcvrfso2TotebodarkturquoiseGB"
1352309339,"KOPPANGchest/6drw172x83white,HEMNESbdstable46x35whitestain"
1352309654,"KOPPLAN3-prtUSBchrgrwhiteGB,SCKKRRAcarrierbag37x57x39cm/71lof-wh/blstr,FENOMENNunscentedblckcndls5natural,RSHULTtrolley28x38x65grey"
1352309976,"LURYslatbdbse70x200,SKORVAmidbeamgalvanised"
1352310072,"MICKEdesk105x50black-brown,KARMSUNDstandmirr40x167black,BESTshelf56x36black-brown,KULLENNNchest/5drw70x112black-brown,BESTsupportingleg10grey,STUBBARPlegblack-brown2-p,BESTTVbnch120x40x38black-brown"
1352310484,"MLLSTENtoppartoutfloordeck0.81mgy/wh9-p,NMMARtable,out75x63lightbrownstained,FRSNcvrbackcshn62x44outdoorbeigeGB,NMMARseatsecfmodsofaoutlbrwnstnd,FRSNcvrseatcshn62x62outdoorbeigeGB,KOLBJRNcabinetin/out80x81beige,DUVHOLMENinnerbckcshn62x44outdooroff-whiGB,MLLSTENbottompartoutflodeck0.81mdgrey,NMMARloungechroutlightbrownstained,KUGGparasolfrm300tilting/grey,RUNNENNedgingstripoutflrdeck4pcsdgrey4-p,LINDJAparasolcanp300beige,KOLBJRNshlvngunitin/out80x81beige,RUNNENfloordeck,out0.81macacia9-p,NMMARstool,out37x45foldable/lbrwnstnd,DUVHOLMENinnerseatcshn62x62outdooroff-whiGB,NMMARchrwarmrsts,outlightbrownstained"
1352311565,"KALLRRhandle405mmstainlesssteel2-p,KOMPLsoftclsnghinge3-p,PAXwrdfrm100x58x201whiteN,KOMPLclothesrail100white,FORSANDNdoor50x195white,KOMPLshelf100x58white"
1352311697,"SKUBBNboxs6white,MUSKOTplantpot24white,BUMERANGhangernatural8-p,STUKboxwcomp20x34x10white,MALMNglasstop40x48white,MALMNchest/6drw80x123whiteN,MALMchest/2drw40x55whiteN"
1352312647,"ENERYDAknob27mmchrome-plated2-p,KOMPLsoftclsnghinge3-p,PAXwrdfrm100x58x201whiteN,KOMPLclothesrail50darkgrey,PAXwrdfrm50x58x201whiteN,KOMPLclothesrail100darkgrey,BERGSBOdoor50x195beige"
1352312847,"MOPSIGcutleryset16pcs,KALASNNmugmixedcolours,POKALNNglass35clclearglass,RINNIGteatowel45x60whidgrey/patterned4-p,FAVORISERAservices12white,TRDKRASSULAdc/pwc150x200/50x80white/blue,FULLNDADkitchenuts5grey,KALASNNplatemixedcolours6-p,ANNONScookwares5glass/stainlesssteel"
1352313426,"TJABBAmagazfilewhite2-p,GERSBYbookcs60x180white"
1352313822,"MLLSTENtoppartoutfloordeck0.81mgy/wh9-p,NMMARtable,out75x63lightbrownstained,FRSNcvrbackcshn62x44outdoorbeigeGB,NMMARseatsecfmodsofaoutlbrwnstnd,FRSNcvrseatcshn62x62outdoorbeigeGB,KOLBJRNcabinetin/out80x81beige,DUVHOLMENinnerbckcshn62x44outdooroff-whiGB,MLLSTENbottompartoutflodeck0.81mdgrey,NMMARloungechroutlightbrownstained,KUGGparasolfrm300tilting/grey,RUNNENNedgingstripoutflrdeck4pcsdgrey4-p,LINDJAparasolcanp300beige,KOLBJRNshlvngunitin/out80x81beige,RUNNENfloordeck,out0.81macacia9-p,NMMARstool,out37x45foldable/lbrwnstnd,DUVHOLMENinnerseatcshn62x62outdooroff-whiGB,NMMARchrwarmrsts,outlightbrownstained"
1352313913,DUNDERGUBBEmovingbox64x34x40cm/80lbrown
1352314474,BRANSlaundbskt/lng80lrattan
1352315399,"MOSSLANDApictureledge115black,MICKEdrawerunitoncastors35x75oakeffect,MICKEdesk105x50oakeffect"
1352315944,KALLAXshelvingunit77x147white
1352316246,REKOglass17clclearglass6-p
1352316957,SUNDVIKwardrobe80x50x171white
1352317844,"KALLAXshelvingunit77x77white,KALLAXshelvingunit42x41white"
1352318152,NORDENNNgatetbl26/89/152x80white
1352318209,"BYNNbodypuffmulticolour3-p,STUBBARPlegwhite2-p,BESTsupportingleg10grey,KOMPLshelf50x58white,PAXwrdfrm50x58x236whiteN"
1352318480,"BESTshelf56x36black-brown,STUBBARPlegblack-brown2-p,BJRKVIKENdoor60x64brownstainedoakveneer,BESTsoftclsng/push-openhinge2-p,BESTframe60x40x192black-brown"
1352318619,"SINDVIKglsdr60x64black-brown/clearglass,BESTNdrwrfrm60x25x40black-brown,LAPPVIKENdoor/drawerfr60x38black-brown,LAPPVIKENdrawerfrt60x26black-brown,BESTshelf56x36black-brown,SINDVIKglsdr60x38black-brown/clearglass,BESTNdrwrrnnrssft-clsng2-p,BESTNdrwrfrm60x15x40black-brown,BESTframe60x20x38black-brown,BESTframe60x40x38black-brown,STUBBARPlegblack-brown2-p,BESTglassshelf56x36glass,BESTframe120x40x38black-brown,BESTNNsusprl60silver-colour,BESTsoftclsng/push-openhinge2-p,BESTframe60x40x192black-brown,BESTTVbnch120x40x38black-brown"
1352319322,HRLIGAglassdomewbase20clearglass
1352319508,VESTMARKAsprmattStanDblmediumfirm/lblueGB
1352319570,"MALMchest/2drw40x55whitestainedoakveneer,KALLRRhandle213mmstainlesssteel2-p,KOMPLsoftclsnghinge3-p,KOMPLmeshbskt50x58white,PAXwrdfrm50x58x201whitestainedoakeffect,KOMPLclothesrail100white,KOMPLp-outrailfbskt58white2-p,PAXwrdfrm100x58x201whitestainedoakeffect,KOMPLshelf50x58wsoeff,HEIMdoor50x195mirrorglass,KOMPLclothesrail50white,FORSANDdoor50x195wsoeff"
1352319586,"SEKINERhookfdrwhite,HYLLISshelvut60x27x74in/outdoor,HYLLISshelvut40x27x183in/outdoor"
1352319953,"BRIMNESday-bdfrmw2drwrs80x200whiteN,SVANGfoammatt80x200firm/whiteGB,STOENSEruglowpile170x240mediumgrey"
1352320271,"KOMPLvalethngr17x5white,MALMchest/2drw40x55whiteN,PAXwrdfrm100x58x201whiteN,KOMPLclothesrail100white,KOMPLshelf50x58white,PAXwrdfrm75x35x201whiteN,KOMPLclothesrail75white,KOMPLshelf50x35white,KOMPLshoeshlf100x35white,PAXwrdfrm50x58x201whiteN,PAXwrdfrm75x58x201whiteN,KOMPLshelf100x58white,KOMPLshelf75x35white,PAXadd-oncrnrutw4shlvs53x58x201white,KOMPLshoeshlf75x35white,KOMPLNp-outtrsrhngr75x35darkgrey,KOMPLclothesrail50white,KOMPLshelf75x58white,MALMNottomanbedStanKgwhiteGB"
1352320401,"DIMPAstorbag65x22x65transparent,FRAKTAcarrierbaglarge55x37x35cm/71lblue,KAOSIGfoldingbox48x35x24grey,VINTERFINT2022string40mwhite/gold-colour,ISTADNresealablebaggrey/white50-p,PRKLAstorcase55x49x19,SCKKRRAcarrierbag37x57x39cm/71lgreen,SKYNKEcarrierbag45x36black/beigedotpattern,SCKKRRAcarrierbag37x57x39cm/71lof-wh/blstr,SCKKRRAstorcase55x49x19off-white/green,SMYCKAartwreath22in/outdoorbeech,BASTUAcarrierbag22x22x15cm/7lpink"
1352321210,"BISSANshoecab2comp49x28x93white,PLATSAopenshoestorut80x40x60white"
1352321637,"KALASNNmugmixedcolours,LUGNAREscntdcndlinglss20hrJasmine/pink,BEVARANsealclips30mixedcolours/mixedsizes,ADLADscntdcndlinglss12hrScandWoods/whi,IKEA365+jar3.3lround/glass,SVENSSmemoboard40x60black,IKEA365+lidround/glass,TOTEBOblackbrdchalkpenwhite,KUGGISboxwlid26x35x15white,VARIERANbox34x24white,IKEA365+jar1.7lround/glass,KALASNNplatemixedcolours6-p,STRTSKNscntdcndlinglss20hrBerries/red,IKEA365+dryfoodjarwlid2,3ltrp/white"
1352321925,"FIXAdiffusionbarrierchrome-plated,HLLBARbinwlid10llightgrey,BODBYNdoor20x80off-white,BAGGANSknob20mmstainlesssteel2-p,BODBYNdrawerfrt80x40off-white,BODBYNdrawerfrt60x40off-white,UTRUSTAshelfcrwallcb68white,MEcrnrwllcbfrm68x68x60white,MANdrwrmed40x60whiteI,UTRUSTAshelf60x37white2-p,MEfrmbasecb80x60x80white,UTRUSTAbrktfovengalvanised,LILLVIKENwatertrap/strainer1bowl,UTRUSTAdrwrfrntlow80white,MANdrwrmed80x60whiteI,MAintfittpull-out20I,HAVSENsinkbowlwvsblfrnt62x48white,BODBYNdrawerfrt40x20off-white,UTRUSTAshelf40x60white2-p,MEfrmbasecb20x60x80white,MAadd-onsidefdrwrmed60glass2-p,FRBTTRAdecoplnth221x8off-white,UTRUSTAconnrailffrntsI,UTRUSTAdrwrfrntlow60white,MEleg84-p,FRBTTRAcvrpnl39x86off-white,BODBYNdrawerfrt60x10off-white2-p,MAadd-onsidefdrwrhigh60glass2-p,MANdrwrlow80x60whiteI,BODBYNdoor60x60off-white,MANdrwrhigh60x45whiteI,KARLBYNwt246x3.8oak/veneer,BODBYNdoor40x80off-white,MEbasecbfb-inoven/sink60x60x80white,MANdrwrhigh80x60whiteI,MEfrmwllcb60x37x60white,BODBYNdrawerfrt60x20off-white,MEfrmbasecb40x60x80white,VIMMERNNkitmixtap/hndspstainlesssteelcolGB,UTRUSTANNhingewb-indmprfktchn1102-p,BODBYNdoor40x60off-white,BODBYNdrawerfrt80x20off-white,MANdrwrlow60x60whiteI"
1352322117,FISKBOframe21x30black
1352322177,"FISKBOframe21x30black,LILLNAGGENsqueegee,JLLlaundbag/stand70lwhite,SKUBBlaundbag/stand80lwhite"
1352322438,"SKUBBNboxs6white,KALLAXinsertwdoor33x33white"
1352323304,"PAPPISboxwlid25x34x26brown,KNALLANbag40x25x47cm/47lblack/white,DIMPAstorbag65x22x65transparent,DUNDERGUBBEmovingbox50x31x40brown,RENSAREwaterproofbag16x12x24cm/2.5l,GRSNYGGcarrierbagla57x37x39cm/71llbeige,RENSAREclothesbags3checkpattern/greyblack,PRKLAshoebag48x22,GRSNYGGstorcase55x49x19white/transparent,DUNDERGUBBEmovingbox64x34x40cm/80lbrown,PRKLAstorcase55x49x19"
1352323564,SMAKLIGinductionhob59IKEA500black
1352324166,SORTSrugflatwoven55x85lightgreen
1352324523,"RIBBANNframe50x23white,SANDSHULTbracket18x22aspen,BERGSHULTshelf80x20white"
