ISELL_ORDER_NUMBER,PICK_ID,ARTNO,ARTNAME_UNICODE,ORDER_TYPE,PICK_AREA
1352304246,60296,50457105,HUVNparasolbase56x56grey,Truck,SelfServe
1352304246,60296,50510301,"NMMARrecliningchair,outfoldablelbrwnstnd",Truck,SelfServe
1352304246,60296,60391859,DUVHOLMENincshnset/bckcshn71x45/42x45o-whGB,Truck,SelfServe
1352304246,60296,60396121,LINDJAparasolcanp300beige,Truck,SelfServe
1352304246,60296,60412932,FRSNcvrchrcshn50x50outdoorbeigeGB,Truck,SelfServe
1352304246,60296,60510310,"NMMARbench,out120lightbrownstained",Truck,SelfServe
1352304246,60296,70417892,DUVHOLMENinnercshnchrcshn50x50outoff-whiGB,Truck,SelfServe
1352304246,60296,80391764,FRSNcvrseat/bckcshn116x45outdoorbeigeGB,Truck,SelfServe
1352304246,60296,90511105,"NMMARchrwarmrsts,outlightbrownstained",Truck,SelfServe
1350845573,60299,50242723,LILLTRSKwt186x2.8white/laminate,Customer,FullServeinternal
1352305217,60297,10502930,GRADVISplantpot12in/outdoorgrey,Collect,Markethall
1352305217,60298,50486650,OLIVBLADplantstand58in/outdoorblack,Collect,SelfServe
1352306312,60301,20390871,NISSEDALmirror65x150whitestainedoakeffect,Collect,SelfServe
1349010281,60300,30529467,PINNTORPtable125x75lbrwnstnd/whstnd,Customer,FullServeinternal
1352307161,60302,280637,RSTIDNNtablelampnickel-plated/whiteGB,Truck,Markethall
1352307161,60302,50465756,TAVELNtray2-p,Truck,Markethall
1352307161,60302,50518477,SOLHETTAE27470lmglobeopalwhi2-pUK,Truck,Markethall
1352307161,60303,20410534,LNGFJLLNstarbasew4lgswhite,Truck,SelfServe
1352307161,60303,40430588,LACKwllshlf30x26black-brown,Truck,SelfServe
1352307161,60303,50474751,TROTTENtbltp120x70white,Truck,SelfServe
1352307161,60303,70320319,NISSEDALmirror65x150black,Truck,SelfServe
1352307161,60303,80320521,LNGFJLLseatshellGunnaredbeigeGB,Truck,SelfServe
1352307161,60304,40507342,TROTTENufrmsi/stftbltp120/160white,Truck,FullServeinternal
1350821090,60305,497000,TILLREDANfridge43lfreestanding/whiteGB,Customer,FullServeinternal
1352308037,60306,116595,LIATORPbookcs96x214white,Truck,SelfServe
1345355819,60307,60509142,KOMPLshelf100x58darkgrey,Customer,FullServeinternal
1350798632,60308,40295439,FNISSNwastebin10lwhite,Truck,Markethall
1352308040,60312,40211977,PAXwrdfrm75x35x201whiteN,Collect,FullServeinternal
1352308040,60312,70277995,KOMPLshelf75x35white,Collect,FullServeinternal
1350799796,60309,30256891,KOMPLclothesrail100white,Customer,FullServeinternal
1350799796,60309,70246683,KOMPLdrwrwglssfrnt50x58white,Customer,FullServeinternal
1350799796,60309,30277959,KOMPLshelf50x58white,Customer,FullServeinternal
1349053640,60310,103343,MALMchest/2drw40x55black-brown,Truck,SelfServe
1349053640,60310,70403606,MALMNchest/6drw80x123black-brown,Truck,SelfServe
1349053640,60311,214505,KOMPLsoftclsnghinge3-p,Truck,FullServeinternal
